label,text
1,soll ich jetzt vielleicht die Klinik verklagen die extra für Hüft OP Patienten den Toilettensitz um ca 5 cm Erhöht hat oder soll ich mich von meinen Eltern trennen weil main Vater auch zu hause einen Seniiorengerechten 5 cm Erhühten Toilettensitz montiert hat ? Nee da bin ich dann doch lieber en gesunder Nazi
0,raus mit das pack
0,"Wer sein Land vor Eindringlinge schützen muss,darf auch von der Schusswaffe gebrauch machen. PUNKT."
0,"weil diese leute, die in ecken und auf dem donnerbalken scheißen, einfach scheisse sind"
0,"Au revoir, freie Meinung!"
1,"Meine Eltern wohnen bei mir, zu mir können sie kommen, alle zwei Meter hab ich en Schlagring, einen Baser oder Totschläger gebunkert, die Polizei wird erst gerufen wenn die Invasoren tot sind !"
0,"Solange die Hausbesitzer Gutmenschen sind, weiter so Jungs! (y)"
0,"Ich mag zwar auch luftige Kleider und Miniröcke, aber diese Zeit hatte einen tollen Kleidungsstil! Orientiere mich ab und an selbst heute noch daran..."
0,Quelle?!
0,"Das ist nicht nur Berlin, da ist auch München und London mit dabei. Aber trotz alle dem war es bisher die schönste Zeit die diese Erde zu bieten hatte."
0,Wenn ich das nächste mal was an den Zähnen brauche muss ich nur syrisch lernen und mein Pass nicht vorzeigen oder?
0,"""Was für'n """"religiöser"""" Extremismus??"" Islam ist keine Religion und hört endlich auf den wie eine Religion zu behandeln!! Erkennt dem endlich den Religionsstatus ab, das macht Vieles einfacher!!"
0,"Verrückt - genau den Film hab ich mir vorhin von der Festplatte angesehen. Was für ein Zufall. Total bewegend, die Bilder."
0,Das ich nicht lache
0,Sie hat Recht ist an jeder Grenze so ????
0,...gefällt mir....!
1,"Na, wie bei der IS, Kopf ab."
0,Wo kann man unterschreiben um die verbrecher loszuwerden?
0,"Vielleicht sollten alle die Arbeiten mal für 4 Wochen die Arbeit stilllegen. nicht rauchen, nicht trinken und nicht tanken !!! Dann überlegen unsere Politiker vielleicht mal wer das bezahlt."
0,Wird eh nichts bringen...
0,Schade das sich unsere Jugend nixht zu ihrem Land bekennt! Das ist das Ergebnis unserer Politiker! Gut gemacht liebe roten schwarze grüne und gelb!
0,Das TV verdreht oder verschweigt Vieles. Im §11 ist alles geregelt.Dazu muss man sich nicht mehr äußern.
0,Afrikaner die sowas machen sind schwarze ?
0,Wenn alle die hier auf Facebook mal auf die Strasse gehen würden dann würde sich schnell was ändern.Also nicht auf der Couch Demonstrieren sondern raus.
0,"Grenzschutz steht in der Verfassung.. und somit ist die Aussage, im extremfall diese auch mit Waffengewalt vor Invasoren zu schützen, vollkommen legitim. An der Aussage ist nichts verwerfliches. Aber passt ja grad in den Mainstream alles, was gegen Merkel ist schön per Medien und Poltik zu denunzieren."
0,"die Zensur ist eine von 2 schändlichen Schwestern, die andere heißt Inquisition"
0,Über Hochleistungs-Gutmenschen ;-) http://www.dailymotion.com/video/x3abcd9
0,Hier der Gesetzestext für alle Gutmenschen:
0,Sie hat doch recht!! Manchesmal muss man verteidigen ...
0,"Das ist Kapitalismus in der schärfsten Form.... Der Staat schmeißt das Geld raus, und der Raffgierige nimmt es an..... Mal sehen wie das sich auf die Touristen auswirkt?????"
0,"Wenn man hier im Lande mal so schnell und ohne bürokratische Hürden und finanzielle Rahmen Kindergärten bauen oder Altenheime, Schulen und Straßen sanieren würde, wie man gerade Flüchtlingsunterkünfte bauen kann...das wäre doch auch mal toll, oder?!"
0,"wer zu dumm zum Scheißen ist, sollte wieder nach Hause gehen"
0,"Da fällt unseren Politikern bestimmt was dazu ein, wie noch mehr Geld aus den Taschen des Volkes gezogen werden kann. Hauptsache wir helfen allen die nur besser leben wollen und denen die nur fordern statt dankbar zu sein, dass wir sie aufnehmen. Wenn Europa nicht mit zieht dann zahlen das Merkels Untertanen das eben allein. Deutschland ist für alle da, außer für Deutsche, die müssen nur finanzieren....."
0,"Die können Bürgerwehren bilden aber nicht hier in Deutschland, wir brauchen und wollen diese nicht, hier ist ein CHRISTLICHES Land und so soll und muss es bleiben, sollen sie in ihre Heimat wenn sie sich hier nicht sicher fühlen."
0,"Das sind alles Verbrecher, die großen Konzernbosse sitzen doch mit unseren Schweinepolitiker in der privaten Wirtschaft an einen Tisch. Unsere Politiker sind natürlich alle Ehrenamtlich tätig im Aufsichtsrat. Hahahaha man sollte alle in den Islam schießen und Steinigen."
0,"Weiter so wir schaffen das,sowas gibt es nur bei uns.pfui☹"
0,"""""""Follower"""", was ist das?"""
0,"Wo haben die blos das Geld her, Scheuble sagte doch immer er hat keins. Schwarz Geld?"
0,Ich verstehe es nicht.. wieso kann die Frau denn nicht abgestzt werden???
0,Kriminalität durch Flüchtlinge NICHT gestiegen!
0,"einfach etwas schreiben sagt alles ,, Lügenpresse"
0,Mehr Rechte für die Polizei.Sie sollten solchen Typen den Gummiknüppel quer durchs Maul ziehen und sich so etwas nicht bieten lassen.Danach festsetzen und AUSWEISEN:Wenn man das konsequent durchführen würde wäre das Problem schnell gelöst!
0,„die zahnmedizinische Behandlung von Asylbewerbern könne die Sozialkassen schon bald mehrere Milliarden Euro zusätzlich kosten
0,Stasi pur Maas und Merkel haben gut gelernt das heißt wir sind schon lange in einer Diktatur gefangen und werden sie wie in der DDR auch verjagen.
0,"""die Amerikaner machen als selbsternannte Weltpolizei grobe Fehler, doch sie allein sind nicht für das """"krebsgeschwür"""" des politischen, radikalen Islamismus verantwortlich. Der Islam hat bisher nur belegt daß er keine friedliche Religion ist und wenn es ernst wird, dann werden wir ja sehen wieviele von den friedlichen, verfolgten Flüchtlingen dann plötzlich auf welcher Seite stehen. Und die Islamisten wollen und werden ernst machen...."""
0,"Das stimmt, da war es noch friedlich auf den Straßen"
0,Das Unbequeme wird in Deutschland entsorgt. Traurig . . .
0,""""""" Der Gott der Eisen wachsen ließ, der wollte keine Knechte, drum gab er Säbel, Schwert und Spieß dem Mann in seine Rechte. Drum gab er ihm den kühnen Mut den Zorn der FREIEN REDE........ so und nicht anders. Ich habe ein Recht darauf stolz zu sein und mich auf unser Recht zu berufen und weigere mich mit gesenktem Haupt rechtlos und entmündigt alles kommentarlos hinzunehmen! Ich bin kein Nazi aber ich habe den Anspruch meine Werte, mit denen ich erzogen wurde, zu verteidigen....... so wie es der Engländer, der Franzose, der Schwede und jede  zivilisierte Nation es tut."""
0,"Kein Geld für Bildung, Infrastruktur, Alte und Kranke, Rente, Kinder und Betreuung, Umwelt, Wissenschaft, Kultur. Aber 50 Mrd € für Fremde, die hier nichts leisten und nur haben wollen!"
0,Na sicher wählen ca. 5 Millionen Beamte und öffentlicher Dienst mit Familie CDU/SPD! Die wollen doch ihre sicheren  unkündbaren Posten und fette Pensionen behalten!
0,6d11a40ef222a6ac krass
0,Gar nix passiert. Wird nur gemacht um das Volk bei Laune zu halten
0,"Noch fraglich ob die ihre Rechnungen auch bezahlt bekommen, die Kommunenkassen sind ja fst alle leer"
0,"Dann müsst ihr auf das russische Netzwerk VK umsteigen, Da wird nicht zensiert"
0,Damit sie sich an ihren Händen nicht verletzen sollten die Gutmenschen reichlich Knüppel u. Eisenstangen spendieren.
0,Wieso sollen syrische Zivilisten Krieg führen müssen? Schwachsinn...
0,Das ist alles nur sinnloser Schrot
0,Und das ist nicht nur diese buckelige Unperson.
0,"Nun wird das Volk also dazu gezwungen Demos nicht mehr anzumelden, damit das Regierungssystem nicht ihre ANTIFA und ihre antidemokratischen Gewerkschaftsgegendemos veranstalten kann und somit das GESETZ gewahrt ist."
0,"mit diesem Geld würde es keine Arbeitslosen mehr geben,aber Merkel und Co ist ja nicht dran gelegen das es dem eigenem Volk gut geht.Die aaarmen aaarmen hungernden Menschen der ganzen Welt müssen ja umsorgt werden.Der Patriotismus wird immer Stärker."
1,die scheissen eh im stehen und verscheissen alles und die dummen deutsche können dann putzen weil man dem flüchtlingen es nicht zumuten kann..so eine scheisse...
0,"Warum macht denn das Volk da mit ,warum ?"
0,"Wie wir ja jüngst erfahren müssen,"
0,Gut das man Euch endlich mal Einhalt gebietet  ! - Gut gemacht Facebook - weiter so. Am besten alle diese Hetzaccounts gleich schliessen.
0,Solange wir still daheim rum sitzen wirds mit uns gemacht..Leider
0,Oh das ist aber was ganz neues!!!!!
0,Humor ist wenn man trotzdem lacht :-)
0,Kein Problem für Merkel und Konsorten....ein schändliches Verbrechen wie die ohne zu fragen mit dem Geld der Bürger umgehen...?
0,"ja so ist das mit den türken, jede blonde frau wir als nutte angesehen, wurde mir von ehemaligen leuten mit denen ich durch die arbeit kontakt hatte, ins gesicht gesagt, genauso daß wir deutschen für diese leute nur dazu dasind um uns auszunutzen. in deren augen sind alle mitteleuropäer nicht den dreck unterm fingernagel wert. und von uns wird verlangt, das wir diese leute mit achtung gegenen."
0,"was solls ,wenns dadurch weniger vom Pack wird,"
0,"Grundgesetz nur noch für Erlauchte und Ausgewählte! Typische, sozialistische Demokratur!"
0,Wir brauchen eine neue Regierung. Die hier hart durchgreifen.
0,"Gut das hört sich ja erstmal scheiße an, ist es aber meiner Meinung nach nicht denn in Wirklichkeit habt ihr ein hohes Ziel erreicht, Sie haben Angst vor euch. Also nicht unterkriegen lassen und einfach neu Anfangen und Leute darauf hinweisen auf diese Ungerechtigkeit, sie werden euch bestimmt die Treue halten."
0,"Ein Grenzschützer der die Grenze nicht schützt, sollte sein Gehalt auch nicht bekommen."
0,Klar ist es...
0,dafür gibts torpetos
0,Warum kommt denn keiner hier her zu mir aufs Land
0,Das ist ei Armutszeugis
0,traurige Gesellschafft
0,Aus Bosnien:  Moslem??   betimmt.
0,"""Es ist schon lustig zu lesen, wie Bürgerinitiativen die aus allen Schichten der Gesellschaft kommen, als """" ultrarechte """" betitelt werden ."""
0,"langsam muß der Wahnsinn aufhören,,,,,,"
0,"Was war denn dort los, weiß das jemand? oO"
0,"geltendes Gesetz... bäh, langweilig. lieber hetzen die Herrschaften weiter"
0,Ich habe gedacht das man sowas nie wieder mit ansehen muss.
0,"""LACH LACH ; wenn ihr das jetzt erst merkt , sie wahr schon ,, früher"""" eine Gefahr für das Deutsche Volk"""
0,"Bisher wurde gar keiner abgeschoben,was ist dann schneller? :-)"
0,sehr interessant...?
0,"Da hilft nur eins, raus"
0,"""sicher doch. Nur schade ist, dass es nicht jedem Deutschen möglich ist D zu verlassen. Wäre interessant wie sich diese unfägigen Politiker sich dann hinstellen um das Pack zu """"bereichern"""""""
0,"Ob es Juden Muslems oder andere Extrem Religionen sind haben die nichts aus unserer Geschichte gelernt,beschweren sich über Ihre schlechte Behandlung in der Vergangenheit wollen aber immer noch in Deutschland leben.Müssen wir denn wieder deutlicher werden und Altes wieder anwenden?"
0,Kamera übewachung.
0,Lächerlich..
0,"Unser prasident ist leider alkohlik, aber bei uns, in Prag haben wir keine imigranten. Aus der Gasteten konnen wir zu Hause in der Nacht normale gehen."
0,in welches Land kann ich flüchten? Ich will auch in einem Hotel wohnen
0,"sie gehört ohne Security zamm gesperrt mit den lieben Herren, die sind ja so nett, soll sie das mal beweisen. Wenns am nächsten Tag noch a Hose anhat, dann glaub ich es"
1,Daran sieht man das alle Hakims schwanzlutscher sind
0,"Also die Bilder bei ZDF und ARD , das machen die Besser.  Da sieht man fast bei jedem Bericht 2 bis 3 Frauen dazu mindestens 1 Kind. Ich glaube manchmal das sind immer die gleichen, nur aus anderem Blickwinkel"
0,"Leute,die kurbeln die Wirtschaft an ?????"
0,da soll man nicht sauer werden.
0,Das wird alles immer blöder.
0,Wird????....sie ist eine Gefahr für Deutschland
1,die sind alternativ zu den dummys
0,"2017 ist Wahl, dann sind hoffentlich viele dieser Verbrecher und Verräter, arbeitslos..."
0,Ein Hip-Hop Song von mir für euch. Eine Kampfansage gegen die Bundesregierung.
0,"Muslime fordern Minderheitenschutz. Wie sieht denn der Minderheitenschutz in vielen Muslimischen Ländern aus: Homosexuelle werden verfolgt. Nichtmuslime werden verfolgt, usw. Frauen haben weniger Rechte. Wo ist da euer so verlangter Schutz. Fängt in euren Ländern an. Wenn in euren Ländern die Menschenrechts-Carter gelebt wird, dann dürft ihr auch hier danach schreien."
0,es muss noch mehr passieren - damit dieses Land wach wird -
0,Hallo das wissen wir schon lange.
0,erzählt doch mal was neues
0,Man kann denen auch einfach einmal zeigen wies geht??intelligente Lebensformen kapieren sowas..
0,"Krimminell ist auch wer hier illegale einwandert, seine Ausweisdokumente vernichtet, falsche Herkunft und Name angibt. Personen die aus wirtschaftlichen Gründen kommen und uns von Anfang an nur belügen sind auch krimminell, nicht nur Vergewaltiger. Der Versuch der illegalen Einwanderung in unsere Sozialsysteme muss ebenso bestraft werden. Recht auf Asyl haben nur echte Flüchtlinge, und diese werfen auch nicht wie die 1 Million anderen Scheinasylanten ihre Ausweisdokumente weg."
0,"Iss ja kein Thema mehr, nehmt den Artikel raus aus Faacebook."
0,"""Sowas hat der gesagt ? Respekt!  Da haben sich die politischen """"Eliten"""" aber mächtig zurück entwickelt."""
0,Ist das so Malte Kasper?
0,Läuft doch...!
0,"Merkels Parship Agentur  hat uns ja wirklich das beste gebracht, was der Markt an Nichtsnutzen bietet.?"
0,die Frau sollte Merkel ersetzen dann würde hier in dem Saustall ratzfatz ein anderer Wind wehen ... Wenn sie mehr zu sagen hätte dann wär es wohl garnicht erst soo weit gekommen und es gäbe diese Probleme nicht mit denen wir uns jetzt rumplagen müssen .... aber nein es werden jetzt Millionen und Milliarden für die Lösung ausgegeben für Probleme die es eigentlich garnicht geben dürfte hätte die Regierung mal mit offenen Augen gehandelt... ich sag nur Asylspritsteuer ... da kannste mal sehen wie fertig die in der Birne sind (jeder halbwegs intelligente Politiker hätte dem Kind ein anderen Namen gegeben aber doch  nicht dem deutschen Steuerzahler ne Spritsteuer erhöht)  haha
0,Alle -5- Wirtschaftflüchtlinge sofort ausweisen - und wir haben -5- Unruhestifter weniger in unserem Lande ! ! !
0,"das gibt es nur in Deutschland. Hätte ich zu sagen, wären die ......"
0,Immer wenn man einen weißen Hai braucht ist keiner in der Nähe:)
0,"@ Ich bin Patriot, aber kein Nazi"
0,Wie sehr wünsche ich mir in dieser Zeit geboren worden zu sein..
1,Kampfhunde werden eingeschläfert und was ist mit denen
0,"""...muss """"LINKSPOPULISTISCHEN STAATSMEDIEN""""."""
0,macht bitte einen account bei Vk wie Anonymous es schon vorgemacht hat https://vk.com/anonymous.kollektiv
1,"Diese feigen Dreckschweine, würd gern nach Hamburg fahn und denen feigen Wixxern aufs Maul klopfen."
0,"50 Milliarden Euro - nur für Deutschland! Rechnet mal die Ausgaben der übrigen Länder Europas dazu, dann kann sich diese Summe auf das Drei- oder Vierfache (oder mehr) erhöhen. Und nur, weil eine 'Politikerin' auf die Ratschläge ihrer falschen Berater gehört hat. Decken die Einnahmen der Waffenexporte diese Ausgaben? Decken die Profite die Verluste jedes einzelnen Bürgers im Lande?"
0,Totale Geldverschwendung.
0,GOTT SEI DANK !!!' Das wurde auch Zeit !!!!! Diese Hetzerei hat nun ein Ende !!!!!!! Tschüss auf nimmer wieder lesen !!!!!!!
0,Unterstützung aus Serbien und Serbische Diaspora in Deutschland !!!
0,Wie dumm ist der Stefan ?
0,es gibt länderr die haben grenzen schon zu und schiessen auch da...also denke ich das es mich nicht wundern wird wenn das so passiert...und wer ist daran sculd frau merkel....hätte sie weniger aufgenommen wäre so viel nicht passiert....aber das war ja klar das ....das ganze irgendwann explodiert
0,Wählt keine Altparteien!!
0,Glaubt ihr wirklich das das  wenn wir Wehlen gehe das alles mit rechten Dingen zu geht ??? Die deutschen Politiker meckern das andere Länder beim wählen betrügen!! Und was machen die ??? Betrügen das deutscher Volk !! Das nennt man Landesverrat
0,Richtig so....schmeisst das Pack endlich raus.Da wo sie herkamen..
0,Immerhin  hab ich 2 Kinder gezählt...
0,"Während also deutsche Arbeitnehmer mit schmalem Portemonnaie wegen der hohen Zuzahlungen zunehmend zur Behandlung beim billigeren polnischen oder ungarischen Zahnarzt ins Ausland gehen, dürfen sie im eigenen Land immerhin noch über ihre Steuern und Beiträge die kostenfreie Behandlung der von ihrer eigenen Regierung eingeladenen Mühseligen und Beladenen dieser Welt mitbezahlen."
0,Plus Reperaturen und Renovierung versteht sich
0,"das sit nichts neues, nur der Wähler hat es noch nicht kapiert"
1,"Wen sie sich selbst umbringen, ist nichts einzuwenden."
0,"ach, alles Blödsinn ...die Herkunftsländer wollen diese Straftäter NICHT zurück ...also bleiben die hier"
0,Ach nach hause von was träumt denn diese weltfremde Person? ???Die hat doch gar keine Ahnung welche Probleme auf das Vollständig mit dieser unüberlegten Entscheidung von dieser Person zukommen bzw. Ja schon bestehen. ..
0,Diese Aussage war ein politisches Eigentor.
1,der gehört an die nächste Laterne geknüpft !
0,Ihr nazis..traurig
0,"Fortsetzung.......mittlerweile herrschen. Menschen aus den Kriegsländern brauchen unsere Hilfe. Spitzbuben brauchen wir nicht, weil wir selbst genug haben! Stimmungmache ist absolutes Gift und völlig unnötig."
0,"ich begreife unsere gesetze nicht, wenn er trüke isz soll ihm die einreise für immer verwehrt bleiben, ist in den meisten zivilisierten ländern so, machst du als fremder scheiße, fliegst du. sollte er die deutsche staatsbürgerschaft haben, so solle man mal überprüfen welche gesetzeslücken, oder bestechungsmöglichkeiten bestanden, um ihm diese zugewähren. auf jedenfall hat der kerl in deutschland in freiheit nichts zusuchen. schade das wir so wenig legale möglichkeiten haben solche straftäter lebensland von uns fern zuhalten"
0,"So wie sie da sitzen drehen sie sich auch, im Kreis . Das große Euro vernichtungs Kommando. Hoch lebe der brave Steuerzahler."
1,Raus mit dem Rattenpack
0,Sowas muss man extra beschließen? Echt n brüller. Und dafür habt ihr nur n 1/2 gebraucht. Die letzten Heuler - ohne Witz.
0,Es gibt Trittbrettfahrer und es gibt Trittbrettfahrenlasser
0,"Für dieses Geld hätte man Deutschland in ein modernes und zugleich wunderschönes Land verwandeln können, anstatt in ein Riesenghetto."
0,Top noch mehr von dem gesöcks!
0,"Damals war echt alles besser. Nur ein paar Beispiele: Um 1900 lag die Lebenserwartung bei durchschnittlich 46 Jahren lag, man starb an einer Blinddarmentzündung und jeder 5. Säugling überlebte den geburtsvorgang nicht. und Zuviel Smartphone würden die Kinder damals wohl als luxusproblem einschätzen, da sie 12 Stunden täglich ab einem Alter von 4 (!) Jahren in Textilfabriken arbeiteten. Na ja, wenn sie adelig waren, war's natürlich besser... Echt, hohler geht's nimmer..."
1,ALLE zwangskastrieren ! ALLE !
0,Jetzt gehts echt los oder ???
0,Ich freue mich jedesmal wenn einer Klartext redet bzw schreibt
0,"Dazu muss man kein Psycuoanalytiker sein, um das festzustellen"
0,"Ist das hier ein Haufen feiger Salonnazis und frustrierter Fremdenhasser. Selber haben wir alle nicht einmal ansatzweise eine Ahnung, was es bedeutet wirklich Angst um sein Leben und das seiner Angehörigen zu haben."
0,"Ich finde es traurig wie gegen die AFD gehetzt wird. Unser Staat bricht sein Versprechen Demokratie zu heissen. Nicht nur Politiker auch Presse macht mit. Widerwertig mit dem Apell diese geschundene Partei um so mehr zu unterstützen. Ihr Erfolg ist es, dass sie vom Volke her gewollt ist! Ihre Gegner reagieren aus Angst Macht zu verlieren."
0,Jetzt müssen wir halt noch mehr Überstunden schieben.
0,c9b74cf81d8d1b2e einfach so vielen wie möglich aufs maul hauen
0,Merken und bei alle anstehende Wahlen richtig ankreuzen.  Nur so werden die heutige Machthaber verstehen wer hier der Macht hat. Wir sind das Volk!!!
1,ab nach hause und gibt ihnen genug waffen mit um sich zu killen ! problem gelöst
0,War ja abzusehen. Erbärmlich sowas. Aber naja.
0,Leider wahr. Vor ein paar Wochen hat uns das auch ein Taxifahrer in Mannheim erzählt.
0,"Oder Geld Strafe, nach hause, was willst du denn von diesen korrupten statt noch erwarten???"
0,"Bin gespannt,wann Merkel und der Rest ihrer Facebooklöschagenten ihn als Problem betrachten und alles tun werden,damit er aufhört. Gegen jemanden vorgegangen,der die Wahrheit sagt,Vergewaltiger laufen frei rum,Welt gerettet."
0,"Wie wäre es mit dem Adlon in Berlin, damit keine Beschwerden kommen! Ich kann jedem Hotel nur abraten, da es sonst anschließend kernsaniert werden muss! Ich spreche aus Erfahrung!"
0,"Mich würde mal interessieren was die dort so treiben, ausser die Frauen am Band begrabschen."
0,Das wird auch in Deutschland so kommen und es wird noch schlimmer als wir erahnen können.
0,"Wenn man als Königin jahrelang verehrt wird, dann vergisst man den Bezug zur Relität und spielt mit den Untertanen Monopoly. Für mich stellt sich die Frage, welches persönliches Ziel sie verfolgt. So doof kann nicht mal sie sein.Die hat einen Plan!"
0,"Mensch, waren die Herrschaften ja mal richtig schnell ;-) 4 Wochen danach"
0,Bla bla bla bla
0,"So wie gerade CDU,SPD und Grüne auf die afd verbal eindreschen müssen die ja ganz schön Angst haben.Alles richtig gemacht afd"
0,"""na vieleicht sollte sie statt weizen grasanbaun und an die leute verteilen vieleicht noch ein paar lsd drops dazu somit kann mann das volk noch leichter für blöd verkaufen.....(""""...am resi schau da fliegt a lila kuh""""...oba geh de is doch rosa....)...;OPPPPP"""
0,"was wird hier gezahlt, damit Facebook das zu läßt?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????"
0,"Ach, wenn es doch nur Das wäre. Strom, Miete bzw . Unterkunft, Verpflegung, kostenlose öffentliche Verkehrsmittel , ärztliche Versorgung. ......... ihr könnt die Liste gern ergänzen :(( Bin ich jetzt ein Nazi ??? Neeeee , ich würde das doch in  ihren Ländern auch bekommen. Oder nicht? Neeee, blöder Gedanke, mein Fehler :))))"
0,Wir spielen ? doch gern Mutter Theresa hi.
1,das ist erst der anfang scheiß packzeug
0,Kim Jong Merkel
0,"warum ist das so mit den Kreaturen ganz einfach weil das im Deutschen Knast wie ein 5 Sterne-Hotel zu vergleichen ist, die müssten so behandelt weren wo se herkommen ganz einfach"
0,"Sie muss aber noch zur Rechenschaft gezogen werden,nicht einfach nur ihren Job verlieren.Ne ne ...so einfach sollte sie nicht davon kommen."
0,"Das ist hier ja auch schon so, hat man ja spätestens an Neujahr gemerkt! Es ist so traurig, Europa ist beim Thema Flüchtling zu Nord Korea geworden!"
1,VRBRENNEN diese WICHSER
0,"nicht deutschland..uns kleine,,den steuerzahler kostet das,,,danke mama merkel..ich weiss nicht wie lang ich noch lust habe zu arbeiten und diesen wahnsinn mitfinanzieren will..."
0,"super beitrag, respekt!!!"
0,Das ist doch wolh ein Witz
0,Unsere Polizei darf ja vom Gesetz her nicht hart durchgreifen. Lieber werden die Polizisten verheizt. Sollten es so machen dürfen wie in USA.
0,hoffentlich bleiben diesen Hoteliers die Gäste für immer aus
0,das ist nicht Selbstüberschätzung sondern schlicht u. einfach absoluter Grööößenwahn!!!!!!!
0,"Ja, ja."
0,"Sie ist schuld daran, dass Deutschland langsam zugrunde geht. So ist das nicht mein Deutschland."
0,Immer diese Flüchtlinge
0,"""Und wieder nur ein Einzelfall. Einer von Tausenden zwischenzeitlich. Aber bestimmt wird im Polizeibericht (falls es so was überhaupt geben wird) nur stehen dass eine verirrte Seele Suizid gemacht hat und die tapferen """"Fremdländischen"""" nur versuchten ihn zu retten!"""
0,"Ein bisschen mehr lernen und Hirn einschalten, dafür weniger WhatsApp und Facebook ... wäre schon mal ein Anfang. ^^' Wenn man heute DSDS, GNTM, Superstar, Bachelor, YouTubeStars und Co rund um die Uhr vorgesetzt bekommt ... ist doch kein Wunder, dass da fast niemand mehr für die Schule lernen will ... kann man ja auch so sein Geld verdienen ... und wird Promi ... Wir verlangen nicht zu viel von unseren Kindern ... nur gibt es heute viel mehr Beschäftigungen für Kinder, die nichts mit Schule zu tun haben und die Zeit zum Lernen auffressen. ^^"
0,Ich kann diese dummen und arroganten Fressen nicht mehr sehen wann sind die entlich weg
